,GDP,CPI,Unemployment_Rate,Federal_Funds_Rate,10Y_Treasury_Yield,"('GDP', 'GDPC1')_pct_change","('GDP', 'GDPC1')_MA3","('GDP', 'GDPC1')_YTD_change","('GDP', 'GDPC1')_YoY_change","('CPI', 'CPIAUCSL')_pct_change","('CPI', 'CPIAUCSL')_MA3","('CPI', 'CPIAUCSL')_YTD_change","('CPI', 'CPIAUCSL')_YoY_change","('Unemployment_Rate', 'UNRATE')_pct_change","('Unemployment_Rate', 'UNRATE')_MA3","('Unemployment_Rate', 'UNRATE')_YTD_change","('Unemployment_Rate', 'UNRATE')_YoY_change","('Federal_Funds_Rate', 'FEDFUNDS')_pct_change","('Federal_Funds_Rate', 'FEDFUNDS')_MA3","('Federal_Funds_Rate', 'FEDFUNDS')_YTD_change","('Federal_Funds_Rate', 'FEDFUNDS')_YoY_change","('10Y_Treasury_Yield', 'GS10')_pct_change","('10Y_Treasury_Yield', 'GS10')_MA3","('10Y_Treasury_Yield', 'GS10')_YTD_change","('10Y_Treasury_Yield', 'GS10')_YoY_change"
,GDPC1,CPIAUCSL,UNRATE,FEDFUNDS,GS10,,,,,,,,,,,,,,,,,,,,
DATE,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,20990.541,262.518,6.4,0.09,1.08,0.0,,0.0,,0.40568646721370616,263.6703333333333,0.0,,-3.125,6.233333333333333,0.0,,-11.111111111111105,0.08,0.0,,16.66666666666665,1.3166666666666667,0.0,
2021-02-01,20990.541,263.583,6.2,0.08,1.26,0.0,,0.0,,0.40568646721370616,263.6703333333333,0.40568646721370616,,-3.125,6.233333333333333,-3.125,,-11.111111111111105,0.08,-11.111111111111105,,16.66666666666665,1.3166666666666667,16.66666666666665,
2021-03-01,20990.541,264.91,6.1,0.07,1.61,0.0,,0.0,,0.5034467321488822,263.6703333333333,0.9111756146245487,,-1.6129032258064613,6.233333333333333,-4.687500000000011,,-12.49999999999999,0.08,-22.22222222222221,,27.77777777777779,1.3166666666666667,49.07407407407407,
2021-04-01,21309.544,266.752,6.1,0.07,1.64,1.519746441980696,,1.519746441980696,,0.6953304896002432,265.08166666666665,1.6128417860870714,,0.0,6.133333333333333,-4.687500000000011,,0.0,0.07333333333333335,-22.22222222222221,,1.8633540372670732,1.5033333333333332,51.85185185185184,
2021-05-01,21309.544,268.452,5.8,0.06,1.62,0.0,,1.519746441980696,,0.6372960652591075,266.7046666666667,2.2604164285877637,,-4.91803278688524,6.0,-9.37500000000001,,-14.285714285714302,0.06666666666666667,-33.333333333333336,,-1.2195121951219412,1.6233333333333333,50.0,
2021-06-01,21309.544,270.664,5.9,0.08,1.52,0.0,,1.519746441980696,,0.823983430929931,268.62266666666665,3.1030253163592647,,1.7241379310344973,5.933333333333333,-7.8125,,33.33333333333335,0.06999999999999999,-11.111111111111105,,-6.172839506172845,1.5933333333333335,40.74074074074075,
2021-07-01,21483.083,271.994,5.4,0.1,1.32,0.814372189287571,,2.346495023639439,,0.4913841515680195,270.37,3.609657242551001,,-8.47457627118644,5.7,-15.625,,25.0,0.08,11.111111111111116,,-13.157894736842103,1.486666666666667,22.22222222222221,
2021-08-01,21483.083,272.789,5.1,0.09,1.28,0.0,,2.346495023639439,,0.2922858592468769,271.8156666666667,3.9124936194851356,,-5.55555555555557,5.466666666666666,-20.31250000000001,,-10.000000000000009,0.09000000000000001,0.0,,-3.0303030303030276,1.3733333333333333,18.518518518518512,
2021-09-01,21483.083,273.887,4.7,0.08,1.37,0.0,,2.346495023639439,,0.4025088988192316,272.89000000000004,4.33075065328854,,-7.843137254901955,5.066666666666666,-26.5625,,-11.111111111111105,0.09000000000000001,-11.111111111111105,,7.03125,1.3233333333333333,26.851851851851862,
2021-10-01,21847.602,276.434,4.5,0.08,1.58,1.6967722928780793,,4.0830819939323915,,0.929945561490686,274.37,5.30096983825874,,-4.255319148936176,4.766666666666667,-29.6875,,0.0,0.08333333333333333,-11.111111111111105,,15.328467153284663,1.4100000000000001,46.296296296296305,
2021-11-01,21847.602,278.799,4.1,0.08,1.56,0.0,,4.0830819939323915,,0.8555387542776849,276.37333333333333,6.201860443855289,,-8.888888888888902,4.433333333333334,-35.937500000000014,,0.0,0.08,-11.111111111111105,,-1.2658227848101222,1.5033333333333332,44.44444444444444,
2021-12-01,21847.602,280.808,3.9,0.08,1.47,0.0,,4.0830819939323915,,0.7205908199096944,278.6803333333333,6.967141300786994,,-4.8780487804877986,4.166666666666667,-39.0625,,0.0,0.08,-11.111111111111105,,-5.769230769230771,1.5366666666666664,36.11111111111109,
