MONTH_END,MTD_ACTUAL
2019-01-31,331
2019-02-28,319
2019-03-31,334
2019-04-30,359
2019-05-31,314
2019-06-30,307
2019-07-31,289
2019-08-31,294
2019-09-30,245
2019-10-31,367
2019-11-30,288
2019-12-31,249
2020-01-31,291
2020-02-29,280
2020-03-31,201
2020-04-30,52
2020-05-31,189
2020-06-30,303
2020-07-31,274
2020-08-31,264
2020-09-30,290
2020-10-31,366
2020-11-30,323
2020-12-31,349
2021-01-31,240
2021-02-28,260
2021-03-31,356
2021-04-30,334
2021-05-31,321
2021-06-30,266
2021-07-31,314
2021-08-31,328
2021-09-30,307
2021-10-31,306
2021-11-30,336
2021-12-31,285
2022-01-31,266
2022-02-28,261
2022-03-31,356
2022-04-30,277
2022-05-31,270
2022-06-30,281
2022-07-31,309
2022-08-31,347
2022-09-30,332
2022-10-31,310
2022-11-30,306
2022-12-31,309
2023-01-31,313
2023-02-28,284
2023-03-31,337
2023-04-30,278
2023-05-31,313
2023-06-30,328
2023-07-31,281
2023-08-31,338
2023-09-30,297
2023-10-31,306
2023-11-30,323
2023-12-31,286
2024-01-31,258
2024-02-29,300
2024-03-31,290
2024-04-30,306
2024-05-31,318
